[u'mc', u'01', u'00000afe', u'00000000', u'00000000', u'00000000', u'0ab5', u'48', u'000bd398', u'a0:0']
[u'mr', u'01', u'00000a5e', u'00000000', u'00000000', u'00000000', u'0ab5', u'48', u'40494049', u'a0:0']
[u'mc', u'01', u'00000b94', u'00000000', u'00000000', u'00000000', u'0ab6', u'49', u'000bd4af', u'a0:0']
[u'mr', u'01', u'00000afe', u'00000000', u'00000000', u'00000000', u'0ab6', u'49', u'40494049', u'a0:0']
[u'mc', u'01', u'00000ca8', u'00000000', u'00000000', u'00000000', u'0ab7', u'4a', u'000bd5c7', u'a0:0']
[u'mr', u'01', u'00000c12', u'00000000', u'00000000', u'00000000', u'0ab7', u'4a', u'40494049', u'a0:0']
[u'mc', u'01', u'00000b11', u'00000000', u'00000000', u'00000000', u'0ab8', u'4b', u'000bd6e0', u'a0:0']
[u'mr', u'01', u'00000a71', u'00000000', u'00000000', u'00000000', u'0ab8', u'4b', u'40494049', u'a0:0']
[u'mc', u'01', u'00000ac6', u'00000000', u'00000000', u'00000000', u'0ab9', u'4c', u'000bd7f8', u'a0:0']
[u'mr', u'01', u'00000a26', u'00000000', u'00000000', u'00000000', u'0ab9', u'4c', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a51', u'00000000', u'00000000', u'00000000', u'0aba', u'4d', u'000bd90f', u'a0:0']
[u'mr', u'01', u'000009a7', u'00000000', u'00000000', u'00000000', u'0aba', u'4d', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a0b', u'00000000', u'00000000', u'00000000', u'0abb', u'4e', u'000bda27', u'a0:0']
[u'mr', u'01', u'00000961', u'00000000', u'00000000', u'00000000', u'0abb', u'4e', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a27', u'00000000', u'00000000', u'00000000', u'0abc', u'4f', u'000bdb40', u'a0:0']
[u'mr', u'01', u'0000097d', u'00000000', u'00000000', u'00000000', u'0abc', u'4f', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a10', u'00000000', u'00000000', u'00000000', u'0abd', u'50', u'000bdc57', u'a0:0']
[u'mr', u'01', u'00000966', u'00000000', u'00000000', u'00000000', u'0abd', u'50', u'40494049', u'a0:0']
[u'mc', u'01', u'00000a48', u'00000000', u'00000000', u'00000000', u'0abe', u'51', u'000bdd6f', u'a0:0']
[u'mr', u'01', u'0000099e', u'00000000', u'00000000', u'00000000', u'0abe', u'51', u'40494049', u'a0:0']
